name                ;  RA_ICRS ;   DE_ICRS;    dist;  e_dist;     age;   e_age;     FeH;   e_FeH;      Av;    e_Av;      Nc; 
UBC_175             ;  344.4320;   54.3751;    1274;      19;   8.655;   0.174;  -0.016;   0.112;   1.076;   0.176;     229; 
COIN-Gaia_38        ;   51.4304;   51.1012;    1105;      25;   8.430;   0.345;   0.237;   0.105;   2.020;   0.098;     233; 
UPK_540             ;  114.8453;  -58.4008;    1363;       0;   7.893;   0.000;  -0.842;   0.000;   0.434;   0.000;     229; 
NGC_7226            ;  332.6055;   55.3950;    4098;     250;   8.591;   0.311;  -0.126;   0.032;   1.856;   0.151;     220; 
FSR_1150            ;  106.1459;   -6.6248;    3091;     159;   8.798;   0.107;  -0.114;   0.080;   1.627;   0.063;     228; 
Skiff_J0614+12.9    ;   93.6841;   12.8646;    2916;     117;   8.536;   0.310;  -0.151;   0.054;   1.924;   0.095;     235; 
Berkeley_47         ;  292.1327;   17.3626;    2182;     126;   7.131;   0.212;   0.175;   0.155;   3.931;   0.047;     233; 
NGC_1220            ;   47.9197;   53.3459;    2493;      49;   7.553;   0.224;  -0.113;   0.027;   2.477;   0.028;     228; 
Collinder_469       ;  274.1321;  -18.3147;    2147;     123;   7.371;   0.411;   0.161;   0.063;   2.331;   0.161;     221; 
UPK_12              ;  288.7950;  -22.1446;     638;       1;   8.393;   0.124;   0.039;   0.039;   0.362;   0.053;     232; 
Patchick_90         ;  101.1796;   -0.5352;    5199;     346;   8.890;   0.047;  -0.269;   0.064;   2.243;   0.073;     237; 
Berkeley_58         ;   71.0617;   59.9509;    2816;     422;   9.553;   0.218;  -0.174;   0.012;   2.049;   0.253;     236; 
Berkeley_94         ;  335.7097;   55.8499;    3742;     284;   7.110;   0.103;  -0.117;   0.077;   1.982;   0.049;     234;     
NGC_2269            ;  100.8192;    4.6274;    2046;      70;   8.397;   0.188;  -0.105;   0.032;   1.358;   0.094;     238; 
NGC_743             ;   29.5908;   60.1331;    1045;      25;   7.823;   0.304;   0.001;   0.055;   1.768;   0.089;     236; 
UBC_557             ;  256.1699;  -38.9853;    1421;      34;   7.584;   0.086;   0.115;   0.044;   1.629;   0.047;     232; 
NGC_2129            ;   90.2716;   23.3302;    1815;      51;   7.357;   0.137;  -0.080;   0.091;   2.213;   0.063;     243; 
NGC_2302            ;  102.9767;   -7.0883;    1167;       4;   8.090;   0.072;  -0.033;   0.018;   0.734;   0.047;     244; 
Haffner_19          ;  118.1918;  -26.2710;    4408;     225;   7.083;   0.033;  -0.101;   0.074;   1.419;   0.048;     240; 
Czernik_8           ;   38.2410;   58.7627;    2534;     143;   7.732;   0.185;  -0.112;   0.067;   2.993;   0.073;     241; 
Juchert_9           ;   58.8306;   58.3932;    3800;     474;   7.172;   0.212;  -0.286;   0.023;   2.584;   0.062;     247; 
Gulliver_8          ;   80.5653;   33.8029;    1037;      20;   7.437;   0.076;  -0.022;   0.085;   1.049;   0.077;     248; 
Harvard_13          ;  255.9982;  -48.0917;    1177;      43;   8.898;   0.042;   0.139;   0.049;   1.799;   0.094;     236; 
Ruprecht_19         ;  111.4636;  -21.8184;    1371;      23;   7.931;   0.125;  -0.048;   0.031;   0.344;   0.031;     247; 
COIN-Gaia_30        ;   21.0314;   70.5697;     712;       4;   8.254;   0.095;  -0.072;   0.076;   1.683;   0.168;     252; 
UBC_514             ;  158.5283;  -73.2565;    1813;      38;   9.495;   0.077;  -0.210;   0.064;   0.552;   0.114;     251; 
UPK_585             ;  212.8376;  -75.6927;     703;       1;   8.451;   0.098;  -0.233;   0.093;   0.446;   0.134;     251; 
Haffner_20          ;  119.0604;  -30.3640;    3542;     107;   8.271;   0.275;  -0.174;   0.043;   2.224;   0.057;     251; 
UBC_534             ;  238.6451;  -57.8798;    1563;      40;   8.049;   0.227;   0.099;   0.066;   1.587;   0.065;     228; 
NGC_2374            ;  111.0037;  -13.2428;    1211;      12;   8.575;   0.047;   0.029;   0.041;   0.515;   0.047;     253; 
NGC_7160            ;  328.4459;   62.5841;     894;      15;   7.260;   0.136;  -0.036;   0.055;   1.188;   0.079;     250; 
Alessi_18           ;  114.2961;  -26.3880;    6189;    1415;   8.338;   0.816;  -0.333;   0.064;   2.332;   0.213;     249; 
Feibelman_1         ;  304.4254;   38.0265;    2966;     307;   7.204;   0.121;   0.028;   0.079;   2.305;   0.070;     244; 
UPK_5               ;  273.3202;  -18.3823;     549;       2;   8.344;   0.302;   0.151;   0.056;   0.536;   0.065;     241; 
UPK_55              ;  296.7732;   10.4338;     779;       4;   8.488;   0.174;  -0.048;   0.058;   0.761;   0.067;     249; 
FSR_0551            ;   24.9613;   64.8685;     892;      14;   7.035;   0.019;  -0.061;   0.017;   1.688;   0.056;     249; 
UPK_630             ;  249.2131;  -51.3430;     877;      10;   8.347;   0.091;   0.012;   0.071;   0.622;   0.074;     217; 
Ruprecht_148        ;   71.6570;   44.7159;    3009;     248;   7.439;   0.266;  -0.140;   0.063;   2.292;   0.071;     250; 
NGC_6469            ;  268.2768;  -22.2900;    1503;      44;   7.530;   0.180;   0.174;   0.025;   2.148;   0.048;     212; 
Trumpler_33         ;  276.1694;  -19.7200;    1333;      24;   7.836;   0.154;   0.061;   0.096;   1.488;   0.081;     239; 
UBC_484             ;  138.0128;  -44.8231;    1951;      65;   8.127;   0.324;   0.013;   0.059;   1.575;   0.155;     259; 
Ruprecht_84         ;  147.2877;  -65.2649;    1788;      49;   8.317;   0.199;  -0.007;   0.050;   0.741;   0.101;     263; 
UBC_492             ;  148.7218;  -50.9452;    2211;      31;   8.227;   0.135;  -0.009;   0.082;   1.408;   0.062;     255; 
Berkeley_101        ;  353.2129;   64.2109;    4192;     392;   8.620;   0.633;  -0.021;   0.083;   3.127;   0.119;     260; 
UBC_339             ;  271.3072;  -23.3066;    2297;     172;   8.792;   0.532;   0.125;   0.082;   2.351;   0.202;     250; 
UPK_294             ;   60.6819;   66.0947;     730;       3;   8.305;   0.155;  -0.269;   0.066;   2.090;   0.115;     266; 
FSR_0498            ;    7.2986;   62.3747;    2459;      80;   7.562;   0.138;  -0.034;   0.038;   1.448;   0.047;     262; 
FSR_0728            ;   67.4678;   38.4894;    1535;      33;   8.059;   0.189;  -0.040;   0.033;   2.137;   0.099;     266; 
Ferrero_11          ;   93.6480;    0.5943;     777;       4;   8.542;   0.106;  -0.084;   0.025;   0.798;   0.047;     262; 
Czernik_16          ;   52.7488;   52.6041;    2291;      61;   8.403;   0.072;  -0.111;   0.050;   2.941;   0.034;     268; 
FSR_0866            ;  103.8236;   29.7499;    1185;      21;   9.708;   0.040;  -0.120;   0.034;   0.154;   0.032;     269; 
NGC_3680            ;  171.4281;  -43.2623;    1013;       9;   9.302;   0.041;  -0.137;   0.060;   0.310;   0.102;     271; 
UPK_38              ;  280.8179;   -1.6482;     575;       2;   7.023;   0.079;  -0.044;   0.065;   2.319;   0.061;     251; 
NGC_2343            ;  107.0278;  -10.6243;    1040;      14;   8.190;   0.150;   0.013;   0.058;   0.674;   0.095;     270; 
UBC_80              ;   91.6573;    8.7714;    2047;      52;   7.679;   0.145;  -0.085;   0.067;   0.901;   0.048;     270; 
Hogg_17             ;  218.4585;  -61.3237;    2096;      60;   7.370;   0.023;   0.145;   0.029;   2.050;   0.028;     259; 
Koposov_43          ;   88.0901;   29.8911;    4658;     284;   9.040;   0.042;  -0.307;   0.079;   2.047;   0.097;     271; 
SAI_17              ;   35.2165;   59.1828;    5133;     342;   8.949;   0.085;  -0.201;   0.084;   3.185;   0.091;     271; 
UFMG_53             ;  195.4293;  -64.0370;    2762;     128;   7.142;   0.756;   0.142;   0.081;   3.241;   0.117;     254; 
FSR_0948            ;   96.4792;   15.8653;    3630;     146;   8.651;   0.102;  -0.205;   0.072;   1.735;   0.157;     270; 
Ruprecht_67         ;  130.4531;  -43.3448;    1439;      31;   8.155;   0.149;  -0.012;   0.038;   1.716;   0.038;     273; 
SAI_14              ;   21.5179;   62.6309;    4579;     237;   8.863;   0.042;  -0.018;   0.080;   3.277;   0.044;     276; 
Dias_2              ;   92.2937;    4.5808;    3954;     493;   9.219;   0.138;  -0.181;   0.061;   0.889;   0.269;     276; 
Gulliver_25         ;   52.0999;   45.1429;    1292;      17;   8.472;   0.204;  -0.110;   0.055;   1.072;   0.083;     277; 
UPK_312             ;   67.6269;   56.1712;     680;       9;   8.713;   0.181;  -0.187;   0.080;   1.284;   0.120;     273; 
NGC_637             ;   25.7742;   64.0411;    2316;      88;   7.265;   0.054;  -0.003;   0.048;   1.962;   0.027;     279; 
Gulliver_10         ;  123.0104;  -38.6295;     583;       3;   7.194;   0.590;  -0.233;   0.149;   3.249;   0.766;     275; 
Gulliver_12         ;  181.2095;  -61.3296;    1701;      45;   8.221;   0.168;   0.012;   0.036;   1.006;   0.081;     256; 
Haffner_3           ;  106.0288;   -6.1328;    2332;      41;   8.722;   0.098;  -0.142;   0.028;   1.329;   0.075;     276; 
Ruprecht_98         ;  179.8986;  -64.4740;     459;      16;   8.711;   0.078;  -0.127;   0.082;   0.770;   0.154;     255; 
Trumpler_21         ;  203.0571;  -62.7919;    1264;      25;   7.802;   0.120;   0.073;   0.054;   0.828;   0.036;     274; 
UBC_445             ;  108.4906;   -6.5962;    2450;     101;   8.772;   0.100;  -0.182;   0.072;   0.839;   0.155;     275; 
FSR_0674            ;   63.0955;   48.7264;    2646;     366;   8.799;   0.167;  -0.174;   0.101;   3.165;   0.123;     282; 
FSR_0811            ;   94.0975;   36.3778;    2470;      69;   8.890;   0.068;  -0.131;   0.031;   0.904;   0.119;     275; 
Ruprecht_130        ;  266.8970;  -30.0971;    1985;     101;   8.480;   0.225;   0.174;   0.052;   3.026;   0.081;     273; 
ASCC_99             ;  282.1968;  -18.4015;    2370;       0;   8.460;   0.000;   0.385;   0.000;   3.059;   0.000;     256; 
COIN-Gaia_19        ;   82.1534;   34.3159;    1195;      16;   8.506;   0.229;  -0.037;   0.050;   0.956;   0.073;     282; 
NGC_6178            ;  248.9343;  -45.6412;     849;      18;   7.123;   0.068;   0.026;   0.085;   0.868;   0.096;     242; 
Haffner_21          ;  120.2959;  -27.2172;    2683;      72;   8.804;   0.055;  -0.020;   0.047;   0.366;   0.028;     277; 
COIN-Gaia_16        ;   80.1817;   37.4202;    1513;      43;   7.451;   0.157;  -0.049;   0.046;   1.027;   0.046;     285; 
UPK_18              ;  280.7471;  -15.3048;     749;       3;   8.788;   0.535;  -0.228;   0.026;   1.034;   0.180;     254; 
UPK_27              ;  275.1103;   -5.1923;     880;      11;   8.776;   0.059;   0.010;   0.067;   3.662;   0.074;     280; 
ESO_429_02          ;  113.3523;  -28.1814;    2700;     250;   7.116;   0.176;  -0.186;   0.093;   1.214;   0.077;     278; 
Platais_3           ;   68.8312;   70.9436;     178;       0;   8.000;   0.000;  -0.029;   0.000;   0.010;   0.000;     279; 
Basel_4             ;   87.2378;   30.1950;    2842;      55;   8.250;   0.038;  -0.116;   0.023;   1.794;   0.031;     288; 
Ruprecht_75         ;  140.4884;  -56.3176;    3583;     119;   9.141;   0.029;  -0.093;   0.081;   1.196;   0.076;     269; 
Alessi_10           ;  301.2473;  -10.5181;     434;       1;   8.558;   0.093;   0.049;   0.021;   0.445;   0.033;     288; 
BH_245              ;  266.5611;  -29.7008;    2629;     237;   6.773;   0.206;   0.161;   0.074;   5.288;   0.097;     283; 
Berkeley_77         ;  110.3601;   -3.2359;    3753;     113;   8.884;   0.039;  -0.175;   0.050;   0.565;   0.050;     283; 
FSR_1407            ;  142.4481;  -33.8490;    3214;     131;   9.908;   0.075;  -0.160;   0.072;   0.378;   0.101;     291; 
UBC_502             ;  159.5509;  -59.5341;    1681;      57;   8.678;   0.122;   0.011;   0.074;   0.748;   0.147;     276; 
UBC_536             ;  237.6893;  -55.6347;    1793;      53;   7.094;   0.112;   0.114;   0.090;   3.046;   0.124;     272; 
COIN-Gaia_1         ;   11.9748;   66.7863;     631;       4;   8.296;   0.131;   0.004;   0.097;   1.671;   0.122;     293; 
UBC_596             ;    3.3741;   53.8215;    2018;     132;   8.138;   0.498;  -0.228;   0.131;   0.708;   0.077;     295; 
Collinder_338       ;  264.4948;  -37.6593;     642;       1;   8.300;   0.112;   0.066;   0.055;   0.713;   0.063;     271; 
NGC_2645            ;  129.7883;  -46.2335;    1707;      46;   7.318;   0.086;   0.001;   0.088;   1.439;   0.028;     285; 
SAI_4               ;    5.9021;   62.7076;    2553;      73;   7.536;   0.165;  -0.115;   0.032;   1.829;   0.055;     287; 
UBC_253             ;  139.5608;  -56.0140;    1572;      17;   8.332;   0.210;  -0.064;   0.046;   1.048;   0.096;     291; 
COIN-Gaia_11        ;   68.0583;   39.5164;     638;       5;   8.753;   0.078;  -0.001;   0.053;   1.876;   0.053;     297; 
COIN-Gaia_3         ;   18.7223;   60.4804;    1151;      30;   8.022;   0.205;   0.251;   0.124;   1.970;   0.126;     294; 
FSR_0448            ;  356.8175;   60.8949;    2687;     122;   8.869;   0.269;  -0.071;   0.041;   3.102;   0.101;     293; 
Gulliver_13         ;  104.8770;  -13.2366;    1472;      24;   8.815;   0.310;  -0.115;   0.068;   1.579;   0.101;     292; 
Riddle_4            ;   31.8482;   60.2682;    2534;     110;   7.112;   0.142;  -0.163;   0.053;   3.164;   0.048;     300; 
COIN-Gaia_8         ;   39.1677;   49.9964;     709;       4;   8.658;   0.137;  -0.025;   0.033;   0.640;   0.056;     302; 
Czernik_2           ;   10.9711;   60.1877;    1759;      57;   8.545;   0.184;   0.037;   0.067;   1.791;   0.090;     298; 
Haffner_7           ;  110.7423;  -29.5073;    4016;     119;   8.838;   0.035;  -0.106;   0.063;   0.811;   0.052;     302; 
Basel_11b           ;   89.5399;   21.9688;    1660;      28;   8.456;   0.045;  -0.093;   0.049;   1.918;   0.054;     302; 
UBC_479             ;  124.4104;  -42.6083;    1420;      32;   7.248;   0.061;   0.061;   0.082;   1.338;   0.240;     300; 
FSR_1085            ;  103.2938;   -0.1889;    1526;      25;   8.183;   0.138;  -0.147;   0.031;   0.867;   0.058;     298; 
Trumpler_1          ;   23.9179;   61.2871;    2424;      49;   7.420;   0.075;  -0.046;   0.050;   1.815;   0.022;     305; 
NGC_2925            ;  143.3434;  -53.4141;     738;       5;   8.320;   0.194;   0.008;   0.050;   0.260;   0.074;     292; 
UPK_45              ;  291.6800;    0.1904;     849;       9;   8.280;   0.242;  -0.033;   0.103;   1.057;   0.139;     295; 
Majaess_65          ;   87.4379;   27.0760;     926;       7;   8.054;   0.093;  -0.048;   0.040;   0.808;   0.044;     308; 
UBC_108             ;  281.6153;   -5.1942;    1413;      43;   8.806;   0.135;   0.074;   0.105;   2.213;   0.205;     269; 
Ruprecht_35         ;  116.5551;  -31.2759;    3249;     231;   7.400;   0.219;  -0.153;   0.051;   1.953;   0.034;     303; 
ASCC_101            ;  288.5472;   36.3043;     393;       1;   9.177;   0.249;  -0.034;   0.067;   0.072;   0.003;     306; 
LP_2339             ;  290.6811;   18.6803;    1034;       8;   7.948;   0.232;   0.156;   0.047;   2.652;   0.039;     306; 
UBC_82              ;   95.8682;    8.3663;    2007;      59;   8.680;   0.086;  -0.176;   0.042;   0.818;   0.092;     312; 
NGC_744             ;   29.6555;   55.4796;    1265;      26;   8.343;   0.135;  -0.046;   0.041;   1.268;   0.112;     313; 
UPK_16              ;  287.2251;  -19.1296;     792;       6;   8.345;   0.283;  -0.104;   0.083;   0.482;   0.048;     302; 
UPK_654             ;  277.2076;  -34.4729;     497;       1;   8.517;   0.168;  -0.048;   0.058;   0.458;   0.137;     288; 
ASCC_29             ;  103.5560;   -1.6495;     988;      11;   8.129;   0.085;  -0.077;   0.025;   0.245;   0.023;     311; 
Loden_46            ;  155.9499;  -54.6193;    1093;       6;   8.915;   0.062;  -0.119;   0.063;   0.483;   0.135;     304; 
UPK_26              ;  283.4643;   -9.7875;     890;       3;   8.165;   0.084;   0.067;   0.064;   0.908;   0.070;     279; 
UPK_84              ;  310.2360;   20.1862;     896;       6;   9.056;   0.040;  -0.011;   0.044;   0.231;   0.035;     315; 
Berkeley_4          ;   11.2768;   64.3894;    2698;     162;   7.109;   0.049;  -0.134;   0.044;   2.331;   0.051;     313; 
UPK_605             ;  234.5195;  -65.9224;     726;       5;   8.575;   0.141;  -0.141;   0.054;   0.203;   0.073;     300; 
FSR_1663            ;  205.2429;  -60.1993;    2917;     136;   9.007;   0.050;   0.012;   0.095;   3.078;   0.069;     308; 
Gulliver_36         ;  123.2226;  -35.1208;    1278;      18;   8.849;   0.141;  -0.080;   0.063;   0.969;   0.129;     316; 
King_12             ;  358.2540;   61.9608;    2491;      99;   7.259;   0.097;  -0.099;   0.059;   1.837;   0.053;     313; 
Ruprecht_8          ;  105.4287;  -13.5236;    2027;      61;   8.553;   0.051;  -0.002;   0.057;   1.411;   0.027;     317; 
Gulliver_37         ;  292.0752;   25.3313;    1479;      32;   8.261;   0.161;  -0.036;   0.106;   1.893;   0.062;     303; 
UBC_360             ;  292.5400;   10.6599;    2768;     253;   8.764;   0.114;   0.129;   0.043;   1.762;   0.104;     293; 
UBC_588             ;  311.5889;   45.4044;    1612;      49;   7.484;   0.313;   0.005;   0.071;   3.127;   0.131;     321; 
NGC_2401            ;  112.3493;  -13.9667;    4239;     223;   7.812;   0.277;  -0.220;   0.032;   1.285;   0.054;     312; 
Dias_1              ;   10.6459;   64.0687;    2620;     101;   7.040;   0.044;  -0.191;   0.057;   3.027;   0.126;     316; 
Melotte_111         ;  186.2226;   25.4686;      84;       0;   8.000;   0.000;  -0.021;   0.000;   0.010;   0.000;     325; 
NGC_2384            ;  111.2906;  -21.0179;    2270;     130;   7.372;   0.118;  -0.130;   0.123;   0.910;   0.040;     317; 
Czernik_15          ;   50.7540;   52.2111;    2409;     147;   7.356;   0.195;  -0.101;   0.052;   2.558;   0.070;     323; 
Czernik_27          ;  105.8276;    6.3868;    4062;     127;   9.103;   0.026;  -0.162;   0.036;   0.387;   0.042;     322; 
Alessi_9            ;  265.9549;  -47.1284;     208;       6;   8.502;   0.053;   0.067;   0.050;   0.143;   0.052;     310; 
NGC_2567            ;  124.6514;  -30.6214;    1637;      43;   8.819;   0.073;   0.007;   0.031;   0.122;   0.011;     322; 
King_17             ;   77.0798;   39.0688;    3318;      75;   7.559;   0.450;  -0.263;   0.034;   1.876;   0.096;     321; 
NGC_5269            ;  206.1618;  -62.9097;    1850;      46;   8.226;   0.200;   0.168;   0.050;   1.477;   0.060;     317; 
FSR_0430            ;  348.8145;   64.1587;    2460;     144;   8.243;   0.215;  -0.077;   0.047;   3.027;   0.056;     320; 
NGC_2588            ;  125.7998;  -32.9692;    4367;     302;   8.539;   0.353;  -0.171;   0.022;   1.304;   0.127;     312; 
Skiff_J1942+38.6    ;  295.6079;   38.6416;    2477;      55;   9.195;   0.022;  -0.006;   0.082;   0.499;   0.078;     321; 
Berkeley_64         ;   35.4302;   65.8934;    4291;     255;   8.909;   0.025;  -0.213;   0.061;   3.019;   0.046;     329; 
UBC_382             ;  324.9847;   49.3185;    2124;      51;   8.340;   0.243;  -0.008;   0.036;   1.226;   0.079;     316; 
UBC_556             ;  259.2761;  -41.5392;    1576;      61;   7.551;   0.287;   0.172;   0.051;   2.591;   0.111;     326; 
NGC_2972            ;  145.0513;  -50.3309;    1816;      56;   8.631;   0.078;   0.029;   0.032;   1.575;   0.084;     321; 
FSR_1144            ;  104.3029;   -6.6376;    1786;      33;   8.255;   0.182;  -0.095;   0.027;   0.880;   0.047;     331; 
Gulliver_31         ;  301.9167;   38.2524;    2129;      59;   8.249;   0.115;   0.112;   0.060;   1.556;   0.035;     319; 
ASCC_10             ;   51.9055;   35.0110;     642;       3;   8.292;   0.088;   0.004;   0.028;   0.793;   0.068;     339; 
SAI_91              ;  129.2342;  -50.0438;    3235;      94;   8.536;   0.285;  -0.071;   0.017;   1.754;   0.092;     328; 
UPK_614             ;  231.2906;  -53.9334;     885;       4;   8.473;   0.161;  -0.011;   0.038;   0.491;   0.106;     299; 
Gulliver_20         ;  273.7950;   10.9935;     415;       8;   8.853;   0.085;  -0.025;   0.036;   0.297;   0.041;     326; 
COIN-Gaia_17        ;   81.2386;   37.5253;    1057;      12;   8.125;   0.194;  -0.142;   0.040;   1.438;   0.060;     337; 
COIN-Gaia_26        ;   83.7951;   15.7051;    1309;      14;   8.148;   0.089;  -0.025;   0.041;   1.746;   0.026;     339; 
UBC_487             ;  139.7673;  -51.6195;    1795;      31;   7.415;   0.326;   0.002;   0.053;   2.020;   0.072;     335; 
NGC_5281            ;  206.6138;  -62.9113;    1461;      23;   7.802;   0.091;  -0.028;   0.055;   1.031;   0.026;     331; 
Alessi_17           ;  113.8526;  -15.0898;    4021;     151;   8.608;   0.083;  -0.215;   0.026;   1.370;   0.076;     335; 
Berkeley_96         ;  337.4765;   55.3975;    3327;     376;   7.183;   0.250;  -0.087;   0.066;   1.878;   0.065;     333; 
NGC_2479            ;  118.7515;  -17.7474;    1561;      16;   9.101;   0.025;   0.066;   0.041;   0.069;   0.010;     338; 
UBC_97              ;  274.7873;  -15.7567;    1292;      24;   8.312;   0.226;   0.075;   0.055;   1.402;   0.080;     327; 
NGC_7067            ;  321.0723;   48.0137;    4654;     167;   7.085;   0.044;  -0.083;   0.047;   2.565;   0.034;     329; 
UBC_472             ;  120.7474;  -35.0834;    1753;      52;   9.049;   0.084;  -0.069;   0.135;   2.209;   0.073;     334; 
FSR_0537            ;   19.6921;   60.3499;    2838;      67;   7.661;   0.057;  -0.118;   0.022;   1.754;   0.039;     333; 
Platais_8           ;  137.2215;  -58.3813;     135;       1;   7.709;   0.050;   0.153;   0.037;   0.055;   0.063;     334; 
BDSB96              ;  106.3591;  -12.3197;    1083;      17;   6.685;   0.055;   0.003;   0.088;   1.130;   0.240;     339; 
FSR_0979            ;   97.8329;   11.0856;    2225;     219;   8.670;   0.581;  -0.130;   0.053;   2.886;   0.152;     343; 
Collinder_185       ;  125.8276;  -36.3682;    1442;      26;   8.036;   0.061;  -0.031;   0.052;   0.757;   0.056;     339; 
UBC_561             ;  261.2026;  -37.5143;    1522;      41;   8.230;   0.320;   0.155;   0.025;   2.919;   0.072;     345; 
Teutsch_103         ;  142.1570;  -46.6078;    2438;     135;   8.662;   0.103;  -0.027;   0.023;   2.748;   0.068;     347; 
NGC_2126            ;   90.6392;   49.8959;    1254;      18;   9.181;   0.021;  -0.141;   0.050;   0.806;   0.060;     346; 
UBC_340             ;  270.7707;  -22.6504;    1265;      24;   7.413;   0.066;   0.161;   0.050;   2.376;   0.076;     344; 
UPK_42              ;  293.9368;   -3.6817;     580;       1;   8.428;   0.085;  -0.099;   0.029;   1.710;   0.056;     350; 
Dolidze_3           ;  303.8127;   36.8421;    1894;      37;   6.999;   0.072;   0.009;   0.091;   2.266;   0.032;     337; 
Ruprecht_25         ;  114.1863;  -23.3838;    5623;     188;   8.933;   0.066;  -0.366;   0.041;   1.859;   0.099;     351; 
UBC_485             ;  138.1869;  -44.9023;    1675;      35;   8.646;   0.167;  -0.011;   0.073;   1.546;   0.109;     347; 
COIN-Gaia_41        ;   89.8140;   19.0321;    1579;      51;   7.261;   0.166;  -0.040;   0.077;   2.138;   0.084;     353; 
Ruprecht_37         ;  117.4537;  -17.2489;    4508;     193;   9.507;   0.038;  -0.231;   0.051;   0.488;   0.063;     352; 
COIN-Gaia_12        ;   79.1834;   41.7377;     923;       7;   8.767;   0.041;  -0.081;   0.039;   0.516;   0.069;     349; 
UFMG_34             ;  233.8648;  -57.6667;    2124;     141;   8.937;   0.063;   0.092;   0.076;   3.219;   0.060;     344; 
FSR_1125            ;  102.6182;   -5.4473;    3552;     309;   8.845;   0.367;  -0.327;   0.042;   2.208;   0.162;     355; 
Pismis_4            ;  128.8007;  -44.4462;     677;       3;   8.306;   0.058;  -0.051;   0.025;   0.207;   0.028;     356; 
Ruprecht_16         ;  110.7985;  -19.4735;    2610;      95;   8.370;   0.107;  -0.046;   0.043;   1.027;   0.050;     356; 
Ruprecht_71         ;  132.3106;  -46.8617;    1795;      56;   7.426;   0.028;   0.095;   0.076;   1.250;   0.074;     347; 
Alessi_53           ;   97.3609;    9.1762;    4687;     764;   9.026;   0.360;  -0.194;   0.114;   1.988;   0.404;     358; 
UPK_53              ;  288.5770;   14.3841;     582;       1;   8.328;   0.126;   0.042;   0.026;   1.435;   0.042;     338; 
COIN-Gaia_27        ;   85.8209;   13.7803;    1057;      19;   8.618;   0.219;  -0.154;   0.072;   1.758;   0.128;     364; 
Alessi_Teutsch_3    ;  118.2504;  -52.9900;     684;       2;   8.173;   0.170;  -0.039;   0.020;   0.744;   0.043;     367; 
COIN-Gaia_18        ;   78.4167;   35.5141;     987;      11;   8.275;   0.101;  -0.093;   0.045;   1.147;   0.080;     367; 
Alessi_20           ;    2.6127;   58.7290;     423;       1;   6.994;   0.068;  -0.106;   0.071;   1.095;   0.089;     365; 
NGC_2169            ;   92.1240;   13.9337;     936;      16;   6.899;   0.058;  -0.179;   0.057;   0.805;   0.056;     364; 
Bochum_11           ;  161.7445;  -60.1101;    2224;     145;   6.863;   0.094;   0.092;   0.107;   1.773;   0.147;     347; 
NGC_2367            ;  110.0287;  -21.8728;    1940;     251;   7.249;   0.197;  -0.132;   0.060;   1.071;   0.079;     363; 
COIN-Gaia_7         ;   33.7099;   58.4479;    1349;      33;   8.031;   0.069;   0.002;   0.067;   1.718;   0.126;     366; 
IC_4996             ;  304.1411;   37.6504;    1912;      80;   7.027;   0.023;   0.076;   0.065;   1.863;   0.049;     354; 
ASCC_107            ;  297.1882;   21.9844;     847;       8;   7.652;   0.359;   0.253;   0.187;   1.463;   0.204;     357; 
ASCC_128            ;  349.7955;   54.3994;     644;       1;   8.388;   0.100;  -0.052;   0.055;   0.681;   0.069;     364; 
Berkeley_28         ;  103.0329;    2.9227;    3585;     239;   8.525;   0.084;  -0.257;   0.053;   2.122;   0.075;     373; 
Czernik_9           ;   38.3989;   59.8769;    2512;     124;   8.540;   0.313;  -0.146;   0.056;   3.278;   0.087;     370; 
King_20             ;  353.3215;   58.4721;    1709;      30;   7.623;   0.128;   0.113;   0.078;   2.589;   0.037;     366; 
BH_19               ;  121.7587;  -32.3522;    3632;     113;   8.439;   0.399;  -0.119;   0.027;   2.496;   0.056;     372; 
UPK_46              ;  294.7179;   -1.3303;     666;       2;   8.465;   0.101;   0.025;   0.097;   0.789;   0.074;     362; 
NGC_6396            ;  264.4010;  -35.0128;    2188;     169;   7.039;   0.065;   0.300;   0.074;   2.968;   0.046;     335; 
RSG_1               ;   75.5537;   37.4988;     310;      14;   8.383;   0.105;  -0.101;   0.068;   0.736;   0.069;     374; 
UBC_521             ;  187.5219;  -64.1667;    2488;     260;   8.753;   0.318;   0.130;   0.090;   2.338;   0.158;     338; 
UBC_179             ;  350.9415;   59.5013;    1160;      10;   8.325;   0.081;   0.156;   0.071;   1.935;   0.074;     376; 
NGC_6520            ;  270.8547;  -27.8821;    1572;      64;   7.937;   0.304;   0.162;   0.069;   1.337;   0.066;     325; 
Ruprecht_4          ;  102.2404;  -10.5289;    3584;      69;   8.850;   0.042;  -0.175;   0.046;   1.666;   0.063;     381; 
Berkeley_86         ;  305.0847;   38.7073;    1637;      65;   6.869;   0.082;  -0.051;   0.063;   2.689;   0.033;     373; 
UPK_445             ;   92.4548;  -15.0341;     655;       3;   7.163;   0.053;  -0.203;   0.067;   0.727;   0.069;     378; 
King_15             ;    8.2512;   61.8530;    2730;      79;   8.006;   0.537;  -0.109;   0.039;   2.063;   0.082;     374; 
Berkeley_60         ;    4.4425;   60.9344;    3060;     106;   8.583;   0.084;  -0.179;   0.020;   2.647;   0.039;     378; 
UPK_533             ;  123.3785;  -52.2662;     338;       9;   8.454;   0.211;   0.072;   0.070;   0.086;   0.071;     382; 
