name                ;  RA_ICRS ;   DE_ICRS;    dist;  e_dist;     age;   e_age;     FeH;   e_FeH;      Av;    e_Av;      Nc; 
NGC_7024            ;  316.5176;   41.5168;    1155;       9;   8.001;   0.232;   0.054;   0.067;   2.022;   0.070;     120; 
UBC_533             ;  230.3150;  -53.1699;    1228;      21;   8.378;   0.198;   0.018;   0.042;   0.882;   0.066;     116; 
COIN-Gaia_40        ;   81.8832;   33.4908;    1872;      21;   7.933;   0.167;  -0.122;   0.028;   1.141;   0.030;     126; 
UBC_503             ;  156.2841;  -62.3372;    1950;      53;   9.100;   0.039;  -0.028;   0.053;   0.798;   0.087;     121; 
UBC_617             ;   94.7494;   10.1142;    2022;     284;   9.182;   0.169;  -0.088;   0.100;   1.370;   0.263;     125; 
Ruprecht_10         ;  106.6260;  -20.1318;    2020;      74;   8.539;   0.113;  -0.061;   0.033;   0.836;   0.070;     125; 
UPK_66              ;  305.4018;   13.4733;     667;       3;   8.314;   0.180;   0.043;   0.022;   0.184;   0.021;     127; 
FSR_0384            ;  342.9144;   56.1091;    1847;      24;   8.520;   0.116;   0.002;   0.023;   1.272;   0.054;     126; 
FSR_0667            ;   61.7687;   51.1420;    1097;      15;   8.615;   0.087;  -0.111;   0.065;   1.685;   0.086;     127; 
Ruprecht_123        ;  260.7540;  -37.8996;    1544;      13;   8.129;   0.569;   0.175;   0.050;   2.169;   0.132;     126; 
UBC_381             ;  316.2846;   48.7282;    2037;      49;   8.003;   0.210;   0.059;   0.067;   1.902;   0.078;     128; 
UPK_452             ;  110.1629;  -11.7528;     607;       4;   8.302;   0.262;   0.181;   0.081;   0.165;   0.029;     131; 
FSR_0524            ;   14.3354;   62.1165;    2801;     421;   8.556;   0.216;  -0.199;   0.135;   3.101;   0.151;     127; 
FSR_0905            ;   98.4287;   22.3250;    1410;      41;   8.778;   0.060;  -0.086;   0.056;   0.526;   0.071;     128; 
Gulliver_40         ;  163.0982;  -58.4122;    1524;      21;   7.901;   0.204;   0.151;   0.071;   0.671;   0.102;     120; 
UPK_99              ;  312.3955;   25.6127;     753;      59;   8.664;   0.143;  -0.126;   0.065;   0.351;   0.038;     129; 
UPK_137             ;  306.0033;   54.1298;     826;       7;   8.545;   0.160;   0.077;   0.078;   0.263;   0.036;     129; 
UBC_560             ;  254.7953;  -36.0547;    1428;      51;   8.711;   0.568;  -0.039;   0.223;   2.070;   0.317;     132; 
UFMG_30             ;  257.7974;  -48.7562;    1158;      12;   8.160;   0.128;   0.123;   0.091;   1.341;   0.100;     122; 
FSR_1260            ;  112.0820;  -19.6882;    2757;      57;   7.830;   0.211;  -0.079;   0.033;   1.453;   0.058;     133; 
Gulliver_54         ;   81.2640;   33.7068;    1168;      13;   8.618;   0.082;  -0.073;   0.078;   0.759;   0.067;     135; 
BH_111              ;  167.3137;  -63.8302;    2659;      88;   8.900;   0.066;   0.042;   0.021;   1.392;   0.055;     127; 
UFMG_16             ;  245.1010;  -44.8523;    1242;      13;   8.213;   0.238;   0.072;   0.032;   1.637;   0.103;     126; 
COIN-Gaia_21        ;   84.7696;   28.3920;    1340;      35;   7.238;   0.048;  -0.029;   0.053;   1.502;   0.038;     139; 
UPK_385             ;   75.6749;   13.0825;     308;       2;   7.436;   0.125;   0.192;   0.145;   0.677;   0.290;     135; 
FSR_0553            ;   25.2335;   64.5207;    2350;     185;   8.885;   0.299;  -0.063;   0.104;   2.014;   0.072;     137; 
UBC_563             ;  256.7410;  -30.7016;    1060;      13;   8.161;   0.298;   0.107;   0.082;   1.896;   0.074;     125; 
UPK_282             ;   30.3210;   43.7907;     765;       3;   8.406;   0.092;  -0.041;   0.027;   0.312;   0.032;     141; 
NGC_7058            ;  320.4149;   50.8267;     364;       3;   8.108;   0.229;  -0.010;   0.058;   0.435;   0.118;     136; 
NGC_1496            ;   61.1148;   52.6597;    1529;      33;   8.544;   0.116;  -0.091;   0.071;   1.808;   0.078;     147; 
NGC_7129            ;  325.7677;   66.1406;     889;       8;   7.392;   0.651;  -0.041;   0.060;   2.347;   0.715;     145; 
FSR_0968            ;   92.8451;   11.8534;    2245;      49;   7.653;   0.122;  -0.157;   0.042;   1.543;   0.038;     148; 
UBC_415             ;   42.5990;   72.8949;     867;       8;   7.425;   0.102;  -0.114;   0.104;   1.442;   0.060;     146; 
UPK_178             ;  334.4505;   60.0712;     917;      14;   8.179;   0.107;   0.120;   0.090;   2.268;   0.119;     145; 
UPK_502             ;  124.3616;  -37.8038;     675;       2;   8.458;   0.230;   0.045;   0.035;   0.184;   0.133;     142; 
FSR_0224            ;  306.3524;   40.2246;    1653;      37;   6.722;   0.049;   0.040;   0.091;   3.284;   0.069;     149; 
NGC_189             ;    9.8814;   61.0925;    1208;      28;   8.806;   0.098;   0.048;   0.116;   1.831;   0.118;     148; 
UBC_665             ;  242.1766;  -51.4270;    1797;      54;   7.513;   0.347;   0.130;   0.038;   2.877;   0.050;     147; 
UFMG_45             ;  239.6843;  -55.7960;    2476;     161;   7.802;   0.301;   0.263;   0.066;   2.053;   0.042;     132; 
FSR_1284            ;  109.9856;  -24.5242;    2316;      68;   8.882;   0.051;  -0.045;   0.069;   1.053;   0.082;     153; 
ASCC_115            ;  329.2888;   51.5256;     747;       3;   8.308;   0.187;   0.049;   0.063;   0.907;   0.090;     151; 
Patchick_3          ;   79.1101;   45.5825;    1587;      49;   9.141;   0.037;  -0.123;   0.074;   1.365;   0.081;     156; 
Gulliver_32         ;   98.3883;    7.4998;    1627;      68;   8.737;   0.536;  -0.164;   0.084;   1.553;   0.280;     155; 
COIN-Gaia_5         ;   27.3398;   58.0696;     872;       6;   8.697;   0.134;  -0.183;   0.037;   0.815;   0.101;     152; 
NGC_5764            ;  223.3849;  -52.6668;    1878;     121;   9.167;   0.130;   0.123;   0.051;   2.068;   0.154;     154; 
FSR_0686            ;   66.3623;   46.1073;     876;       8;   7.650;   0.277;  -0.091;   0.086;   1.891;   0.072;     156; 
FSR_1484            ;  142.4633;  -50.6872;    2074;      75;   8.418;   0.206;   0.052;   0.040;   2.827;   0.096;     153; 
Pismis_11           ;  138.9667;  -50.0076;    2211;     190;   6.833;   0.101;   0.006;   0.130;   3.411;   0.085;     152; 
Teutsch_127         ;  334.7533;   56.1129;    3707;     173;   6.795;   0.025;  -0.065;   0.068;   2.388;   0.031;     151; 
Teutsch_50          ;  121.7894;  -36.0561;    3492;     192;   8.705;   0.103;  -0.078;   0.052;   3.201;   0.104;     158; 
BH_92               ;  154.7782;  -56.4200;    2301;      50;   7.449;   0.195;  -0.009;   0.036;   1.897;   0.060;     157; 
UBC_302             ;  220.1488;  -55.3883;    1157;      15;   8.777;   0.347;  -0.087;   0.089;   1.239;   0.130;     150; 
UBC_458             ;  115.3289;  -18.7111;    3331;     156;   8.340;   0.243;  -0.119;   0.096;   0.996;   0.184;     158; 
UPK_552             ;  158.6281;  -47.4219;     331;       8;   8.437;   0.082;   0.006;   0.027;   0.095;   0.052;     155; 
FSR_1399            ;  131.0389;  -39.3495;    2556;     315;   8.771;   0.207;  -0.017;   0.074;   3.125;   0.100;     160; 
UBC_347             ;  276.7298;  -10.9679;    1267;      34;   8.727;   0.203;   0.069;   0.078;   3.004;   0.075;     158; 
IC_2157             ;   91.1797;   24.0869;    1877;      49;   7.738;   0.282;  -0.037;   0.055;   1.587;   0.048;     162; 
Berkeley_65         ;   39.7657;   60.4109;    2161;     104;   7.081;   0.072;  -0.194;   0.069;   2.993;   0.044;     162; 
Hogg_16             ;  202.3062;  -61.2086;    1996;      41;   7.415;   0.056;   0.119;   0.051;   1.486;   0.041;     161; 
Basel_10            ;   34.8693;   58.2931;    1757;      97;   7.876;   0.115;   0.013;   0.034;   2.274;   0.052;     165; 
UBC_591             ;  325.0155;   49.3149;    2067;      38;   8.086;   0.233;   0.025;   0.028;   1.209;   0.072;     161; 
FSR_0296            ;  320.9871;   49.9185;    2735;     200;   8.412;   0.482;  -0.060;   0.067;   2.896;   0.115;     164; 
Alessi_1            ;   13.3585;   49.5529;     690;       4;   9.008;   0.027;   0.011;   0.046;   0.305;   0.075;     169; 
Stock_21            ;    7.5890;   57.9266;    1831;      55;   8.597;   0.140;  -0.055;   0.074;   1.718;   0.072;     169; 
UBC_225             ;  106.6657;  -23.5785;    2618;      61;   8.951;   0.024;  -0.167;   0.045;   0.477;   0.060;     166; 
UBC_483             ;  133.7452;  -47.4599;    1817;      37;   7.501;   0.215;   0.169;   0.085;   2.033;   0.049;     165; 
